Depth,OG,1,2,3,4
0.0,181.9976,-0.6446962216189166,-0.6039520085020019,-0.06113294090413534,-0.35492307486889535
0.5,175.6637,-0.6085718985034837,-0.5225136505485206,0.021057271433163202,-0.1997574428622928
1.0,251.6139,-0.6134109300751208,-0.490064237291698,-0.08470203009922221,-0.18907151638669198
1.5,460.0681,-0.6166951961551116,-0.49025978466562065,0.008016696731793763,-0.32602384619577973
2.0,791.6568,-0.5618148232242284,-0.3648618079719783,0.10588462476201888,-0.40324394058358637
2.5,1100.6108,-0.5614493308451639,-0.336493389198527,0.2768378169315327,-0.30795435676308475
3.0,1221.7458,-0.5576442942264069,-0.31074155773660894,0.31887676950780985,-0.23212333696084703
3.5,1096.157,-0.5544697619699421,-0.30896501713010405,0.38133327562241687,-0.019040451818961343
4.0,788.3374,-0.5611533001181969,-0.31512225190205406,0.366757376140788,0.06189793263842597
4.5,463.7279,-0.5443118720241983,-0.29031914550191945,0.33734261660952314,0.24326776296074593
5.0,257.3224,-0.5339486677324375,-0.26586741838266037,0.33119627308820065,0.2864416357833257
5.5,158.9308,-0.5152520628663673,-0.22866860837591568,0.35810631516372643,0.28708387881367936
6.0,108.5723,-0.5029914694844807,-0.20187799025865805,0.3743651912849187,0.2561977323880342
6.5,84.5121,-0.4928597282839294,-0.180726715726942,0.3882135785120328,0.3536738802560513
7.0,77.8959,-0.4857320075051863,-0.16905963585954362,0.4266478705192648,0.5741041329262574
7.5,72.2042,-0.4990383852421392,-0.2109320696499242,0.33912788944425704,0.5972792286745479
8.0,60.7962,-0.46916281446682423,-0.1635446921591748,0.34672047643497633,0.5900723721162966
8.5,55.2776,-0.4546982989007308,-0.13311598514836834,0.374332170953729,0.7855431430551528
9.0,59.0434,-0.4677176042673443,-0.1662326066423954,0.33482462006625135,0.8931654078989826
9.5,58.9372,-0.46006037959703033,-0.17860154383788274,0.28754847857739585,0.7025305612634943
10.0,57.0498,-0.4435373591632641,-0.15403323348684292,0.3308341695120928,0.6588297794788189
10.5,62.7952,-0.44489163039266355,-0.16418753092853877,0.33300687697935394,0.6078366988856123
11.0,72.1846,-0.43203892462965615,-0.1620449461980596,0.30491318288588976,0.4611098865809752
11.5,81.8884,-0.4099472057722979,-0.1296518910620065,0.36803993794229695,0.5762681958749686
12.0,89.4049,-0.40682256257721844,-0.13602929281118,0.3324053646587403,0.7440286160412592
12.5,93.9551,-0.4019469944696785,-0.14745930683556568,0.22626560851991737,0.5050125662144577
13.0,95.5716,-0.36360544223418007,-0.06464791897510702,0.29126100751033307,0.34029339634424144
13.5,96.3083,-0.34112553857459166,0.011698670536541516,0.41798602741932656,0.31766881369189687
